iter	Passed	Remaining
472	1754497	100151
473	1757984	96429
474	1761424	92706
475	1765345	89009
476	1769177	85306
477	1773277	81615
478	1776995	77905
479	1781176	74215
480	1785460	70527
481	1789678	66834
482	1793777	63135
483	1797824	59432
484	1801432	55714
485	1804919	51993
486	1808309	48271
487	1811754	44551
488	1815253	40833
489	1819000	37122
490	1823178	33418
491	1827162	29709
492	1831130	25999
493	1834896	22286
494	1838911	18574
495	1842627	14859
496	1846663	11146
497	1850425	7431
498	1854546	3716
499	1858272	0
